product_id,name,description,price,brand,category,subcategory,category_path,type,image_url
8784161,"GE - 30"" Convertible Range Hood - White-on-White","GE 30"" Convertible Range Hood: Front rocker controls; 240 cfm rear/210 cfm top exhaust capacity; variable 2-speed fan control; removable, dishwasher-safe mesh grease filter; cooktop lighting",429.99,GE,Appliances,Wall Mount Range Hoods,"Appliances > Ranges, Cooktops & Ovens > Range Hoods > Wall Mount Range Hoods",HardGood,http://img.bbystatic.com/BestBuy_US/images/products/8784/8784161_sa.jpg
2760718,GHS - Boomers Nickel-Plated Steel Electric Guitar Strings - Silver,From our expanded online assortment; designed for use with most 6-string electric guitars; nickel-plated steel material; stainless-steel hex core wire; custom light gauges,29.99,GHS,Musical Instruments,Guitar Strings,Musical Instruments > Musical Instrument Accessories > Guitar Accessories > Guitar Strings,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/2760/2760718_sa.jpg
1372359,DENAQ - 6-Cell Lithium-Ion Battery for Select HP Laptops,"Compatible with select HP Envy, G-series, Pavilion and Presario laptops; 10.8V of power; 4400 mAh capacity; overcharge protection; smart technology; no memory effect",49.99,DENAQ,Computers & Tablets,Laptop Batteries,Computers & Tablets > Computer Accessories & Peripherals > Laptop Accessories > Laptop Batteries,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1372/1372359_sa.jpg
9923777,Crock-Pot - 3 Qt. Slow Cooker - Stainless/Black,3-qt. capacity; removable stoneware; see-thru lid; warm setting; dishwasher-safe; stainless-steel finish; recipes,20.99,Crock-Pot,Appliances,"Slow Cookers, Crock Pots & Roaster Ovens","Appliances > Small Kitchen Appliances > Slow Cookers, Crock Pots & Roaster Ovens",HardGood,http://img.bbystatic.com/BestBuy_US/images/products/9923/9923777_rc.jpg
4562300,NETGEAR - CM600 DOCSIS 3.0 High-Speed Cable Modem - Black,Works with Comcast XFINITY and other U.S. cable Internet providers; download speeds up to 960 Mbps; 24 downstream and 8 upstream channels; CableLabs DOCSIS 3.0 Certified; Gigabit Ethernet port,129.99,NETGEAR,Computers & Tablets,DSL & Cable Modems and Gateways,Computers & Tablets > Networking & Wireless > DSL & Cable Modems and Gateways,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/4562/4562300_rc.jpg
4448700,Apple - iPhone 6s Plus 64GB - Gold (Sprint),"5.5-inch Retina HD displayA9 chip with 64-bit desktop-class architectureNew 12MP iSight camera with Live Photos3D TouchiOS 9 and iCloud7.3mm thin, seamless design",899.99,Apple,Cell Phones,iPhone,Cell Phones > iPhone,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/4448/4448700_sa.jpg
4365719,Meade - Rainforest Pro 8 x 32 Binoculars - Black,MEADE Rainforest Pro 8 x 32 Binoculars: 8x magnification; water-resistant design; 32mm diameter; fully multicoated optics; BaK-4 prisms,109.99,Meade,Cameras & Camcorders,Binoculars,"Cameras & Camcorders > Binoculars, Telescopes & Optics > Binoculars",HardGood,http://img.bbystatic.com/BestBuy_US/images/products/4365/4365719_rc.jpg
3309041,Incipio - offGRID Portable Lithium-Polymer Battery - Black,"INCIPIO offGRID Portable External Battery: Compatible with most USB-enabled devices; 4000 mAh capacity; 2.1-amp output; 4 LED status indicators; soft-touch finish; slim, lightweight design",49.99,Incipio,Cell Phones,Cell Phone Batteries & Power,Cell Phones > Cell Phone Accessories > Cell Phone Batteries & Power,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/3309/3309041_sa.jpg
9874115,Vinotemp - 7-Bottle Built-In Wine Cooler - Black,"Touch-screen temperature control; 6 fixed, pull-out wire shelves; dual-pane glass door; mirrored trim; soft-glow interior lighting; built-in design with front exhaust",529.99,Vinotemp,Appliances,All Refrigerators,Appliances > Refrigerators > All Refrigerators,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/9874/9874115_sa.jpg
2685658,Incipio - feather Clear Ultralight Snap-On Case for Apple® iPhone® 5c - Clear Turquoise,"Compatible with Apple iPhone 5c; rigid Plextonium shell; high-density, translucent frame; lightweight, low-profile construction; snap-on design",24.99,Incipio,Cell Phones,iPhone Cases & Clips,Cell Phones > Cell Phone Accessories > iPhone Accessories > iPhone Cases & Clips,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/2685/2685658_sa.jpg
9191143,"Remo - Kids' 10"" x 22"" Tubano - Black","Pretuned drumhead; 10"" x 22"" size; wood-composite body",94.99,Remo,Musical Instruments,Bongos,Musical Instruments > Drums & Percussion > World Percussion > Bongos,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/9191/9191143_sa.jpg
9911699,Team ProMark - NFL New York Jets Rugged Case for Apple® iPhone® 6 and 6s - Black/Green/White,TEAM PROMARK New York Jets Rugged Case for Apple iPhone 6 and 6s: Compatible with Apple iPhone 6 and 6s; hard polymer outer shell; honeycomb TPU insert; offset lip,24.99,Team ProMark,Cell Phones,iPhone Cases & Clips,Cell Phones > Cell Phone Accessories > iPhone Accessories > iPhone Cases & Clips,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/9911/9911699_sa.jpg
7058224,Garmin - Delta XC Dog Training Device - Black/White,"GARMIN Delta XC Dog Training Device: 5 training modes; 36 stimulation levels, plus tone and vibration settings; 0.75-mile range; IPX7 water-resistant; remote for up to 3 dogs (additional devices not included)",169.99,Garmin,Connected Home & Housewares,Pet Supplies & Technology,Connected Home & Housewares > Housewares > Pet Supplies & Technology,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/7058/7058224_sa.jpg
